feature,horizon,BTCUSDT,ETHUSDT,SOLUSDT,ic_avg,ic_min_abs,same_sign
hl_range_z_12h,fwd_3h,0.02058812536738409,0.000283623814918116,0.04227012347753266,0.021047290886611624,0.000283623814918116,True
hl_range_z_12h,fwd_48h,-0.021484467718392977,-0.02688619256684029,-0.013953651817242027,-0.020774770700825097,0.013953651817242027,True
hl_range_z_12h,fwd_6h,0.0361744584381071,0.012724344435516614,0.04623671601109477,0.031711839628239494,0.012724344435516614,True
hl_range_z_12h,fwd_72h,0.006832191603522647,0.004127335989276027,-0.00040217363417443885,0.0035191179862080787,0.00040217363417443885,False
hl_range_z_24h,fwd_12h,-0.0013260716454954649,-0.00531731813467636,0.02809538047236849,0.007150663564065555,0.0013260716454954649,False
hl_range_z_24h,fwd_168h,0.0010771773748632783,0.0027367373011571734,0.0007850418395275457,0.0015329855051826656,0.0007850418395275457,True
hl_range_z_24h,fwd_1h,0.002238416581540713,0.0012076263588458045,0.0406404246215352,0.014695489187307238,0.0012076263588458045,True
hl_range_z_24h,fwd_24h,-0.03471573047864109,-0.04390311523922015,-0.01820053782844347,-0.032273127848768235,0.01820053782844347,True
hl_range_z_24h,fwd_3h,0.013403399175866217,0.00041239021461836046,0.04717831404869932,0.0203313678130613,0.00041239021461836046,True
hl_range_z_24h,fwd_48h,-0.04305647842174032,-0.03041755989684275,-0.031164814640586867,-0.034879617653056645,0.03041755989684275,True
hl_range_z_24h,fwd_6h,0.0252309985937401,0.006923531862676417,0.04869317464954135,0.02694923503531929,0.006923531862676417,True
hl_range_z_24h,fwd_72h,0.0030817360047717553,0.006295674724082339,-0.00892799756006404,0.00014980438959668468,0.0030817360047717553,False
hl_range_z_48h,fwd_12h,-0.024143666935362528,-0.027546695576533137,0.0008557547344200602,-0.016944869259158536,0.0008557547344200602,False
hl_range_z_48h,fwd_168h,0.003074088222587335,0.01969520703852469,0.0027003079999282074,0.008489867753680077,0.0027003079999282074,True
hl_range_z_48h,fwd_1h,-0.004652478828212257,-0.015281767602513922,0.02709392999563866,0.0023865611883041606,0.004652478828212257,False
hl_range_z_48h,fwd_24h,-0.062131125671981514,-0.06314113024622744,-0.04941159931718986,-0.058227951745132935,0.04941159931718986,True
hl_range_z_48h,fwd_3h,0.005152517564378461,-0.02128816450782351,0.024426972517457245,0.002763775191337399,0.005152517564378461,False
hl_range_z_48h,fwd_48h,-0.03758616870673014,-0.012432201310753916,-0.050126472329115185,-0.03338161411553308,0.012432201310753916,True
hl_range_z_48h,fwd_6h,0.014446716271868568,-0.013154895500979091,0.024215692658272323,0.008502504476387266,0.013154895500979091,False
hl_range_z_48h,fwd_72h,0.014395424913858467,0.023978673155329876,-0.017346942366520488,0.0070090519008892856,0.014395424913858467,False
lower_wick_rel,fwd_12h,-0.03869044527160443,-0.02487755203161326,-0.055145720178318335,-0.03957123916051201,0.02487755203161326,True
lower_wick_rel,fwd_168h,-0.05938739273252914,-0.004328711799938605,-0.04870040761149005,-0.03747217071465259,0.004328711799938605,True
lower_wick_rel,fwd_1h,-0.018612359933717598,-0.06368641683671816,-0.0626279934192815,-0.048308923396572424,0.018612359933717598,True
lower_wick_rel,fwd_24h,-0.056455649856590406,-0.04340376834652553,-0.07973382767632775,-0.0598644152931479,0.04340376834652553,True
lower_wick_rel,fwd_3h,-0.03486707570699241,-0.05880456761342621,-0.06352919062520018,-0.05240027798187293,0.03486707570699241,True
lower_wick_rel,fwd_48h,-0.020507273948472675,0.017882147713402675,-0.024580791127216343,-0.009068639120762114,0.017882147713402675,False
lower_wick_rel,fwd_6h,-0.019367863486132876,-0.04354759941112557,-0.05914802540835393,-0.040687829435204124,0.019367863486132876,True
lower_wick_rel,fwd_72h,-0.015371723357326901,0.022074400011281168,-0.005677836555396197,0.00034161336618602323,0.005677836555396197,False
n_trades_z_24h,fwd_12h,-0.010530848306542166,-0.005188595094991665,0.00822944052989422,-0.0024966676238798702,0.005188595094991665,False
n_trades_z_24h,fwd_168h,0.0006446523452247549,0.010081378141947676,0.0073567824134780435,0.006027604300216825,0.0006446523452247549,True
n_trades_z_24h,fwd_1h,-0.003606733105338523,-0.00012722958637757635,0.001971729448285051,-0.0005874110811436827,0.00012722958637757635,False
